"Label","Bronx County, New York / White alone / Estimate","Bronx County, New York / White alone / Margin of Error","Bronx County, New York / Black or African American alone / Estimate","Bronx County, New York / Black or African American alone / Margin of Error","Bronx County, New York / Some other race alone / Estimate","Bronx County, New York / Some other race alone / Margin of Error","Bronx County, New York / Hispanic or Latino (of any race) (200-299) / Estimate","Bronx County, New York / Hispanic or Latino (of any race) (200-299) / Margin of Error","Bronx County, New York / Not Hispanic or Latino / Estimate","Bronx County, New York / Not Hispanic or Latino / Margin of Error","Kings County, New York / White alone / Estimate","Kings County, New York / White alone / Margin of Error","Kings County, New York / Black or African American alone / Estimate","Kings County, New York / Black or African American alone / Margin of Error","Kings County, New York / Asian alone (400-499) / Estimate","Kings County, New York / Asian alone (400-499) / Margin of Error","Kings County, New York / Some other race alone / Estimate","Kings County, New York / Some other race alone / Margin of Error","Kings County, New York / Hispanic or Latino (of any race) (200-299) / Estimate","Kings County, New York / Hispanic or Latino (of any race) (200-299) / Margin of Error","Kings County, New York / Not Hispanic or Latino / Estimate","Kings County, New York / Not Hispanic or Latino / Margin of Error","New York County, New York / White alone / Estimate","New York County, New York / White alone / Margin of Error","New York County, New York / Black or African American alone / Estimate","New York County, New York / Black or African American alone / Margin of Error","New York County, New York / Asian alone (400-499) / Estimate","New York County, New York / Asian alone (400-499) / Margin of Error","New York County, New York / Some other race alone / Estimate","New York County, New York / Some other race alone / Margin of Error","New York County, New York / Two or more races / Estimate","New York County, New York / Two or more races / Margin of Error","New York County, New York / Hispanic or Latino (of any race) (200-299) / Estimate","New York County, New York / Hispanic or Latino (of any race) (200-299) / Margin of Error","New York County, New York / Not Hispanic or Latino / Estimate","New York County, New York / Not Hispanic or Latino / Margin of Error","Queens County, New York / White alone / Estimate","Queens County, New York / White alone / Margin of Error","Queens County, New York / Black or African American alone / Estimate","Queens County, New York / Black or African American alone / Margin of Error","Queens County, New York / Asian alone (400-499) / Estimate","Queens County, New York / Asian alone (400-499) / Margin of Error","Queens County, New York / Some other race alone / Estimate","Queens County, New York / Some other race alone / Margin of Error","Queens County, New York / Two or more races / Estimate","Queens County, New York / Two or more races / Margin of Error","Queens County, New York / Hispanic or Latino (of any race) (200-299) / Estimate","Queens County, New York / Hispanic or Latino (of any race) (200-299) / Margin of Error","Queens County, New York / Not Hispanic or Latino / Estimate","Queens County, New York / Not Hispanic or Latino / Margin of Error"
"POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All families","20.2","2.7","22.8","2.1","35.9","2.3","34.0","1.7","19.7","1.9","15.6","1.1","20.5","1.1","22.9","2.7","30.7","3.4","26.7","2.1","17.7","0.9","5.4","1.2","28.6","4.1","18.9","4.6","32.4","4.9","19.0","7.1","27.9","3.0","10.2","1.4","9.8","0.9","10.3","1.5","15.6","1.6","16.7","2.9","14.5","4.5","16.5","1.7","10.7","0.8"
"With related children under 18 years","30.1","4.8","29.8","3.1","43.9","3.0","42.9","2.5","26.4","2.6","23.0","1.8","27.6","1.6","27.5","4.0","37.1","4.4","35.0","2.9","24.4","1.3","6.7","1.9","39.4","6.6","23.9","7.9","40.1","6.7","27.6","11.1","36.1","4.1","14.4","2.6","15.9","1.9","15.1","2.7","19.3","2.4","19.8","3.3","16.8","6.5","23.0","2.5","14.4","1.4"
"With related children under 5 years only","19.9","8.7","22.2","6.3","30.6","7.2","30.3","5.6","18.3","4.9","18.9","3.1","23.1","5.1","17.6","7.2","18.5","8.7","23.7","6.9","19.0","2.7","3.0","2.1","32.4","14.4","9.8","8.9","35.7","19.4","N","N","26.0","11.6","7.6","3.2","12.3","3.3","18.2","7.7","8.1","4.2","8.0","4.7","N","N","14.4","4.1","10.0","2.6"
"Married-couple family","11.7","2.7","11.7","2.6","21.1","3.3","19.9","2.4","11.8","2.0","13.7","1.2","9.6","1.6","21.8","3.0","19.0","4.0","17.1","2.5","13.8","0.9","2.8","0.9","11.4","6.1","18.5","4.7","16.9","7.2","15.8","10.2","15.2","3.9","5.7","1.2","6.6","1.0","4.5","1.4","15.6","2.1","9.7","3.0","10.2","4.5","10.8","1.8","8.9","0.9"
"With related children under 18 years","15.2","5.7","14.8","3.8","24.9","4.4","24.4","3.9","15.0","3.0","19.6","1.9","13.5","2.8","24.8","4.5","23.3","5.5","22.4","3.8","18.5","1.4","2.4","1.1","N","N","20.3","8.0","18.3","8.9","24.8","21.6","16.0","6.1","6.1","1.7","10.0","1.8","7.2","2.7","18.0","2.9","11.1","4.1","13.8","7.4","14.9","2.7","11.4","1.5"
"With related children under 5 years only","12.7","10.9","5.3","4.3","16.0","8.9","18.1","8.2","5.8","3.3","17.4","3.5","7.0","4.8","15.9","7.7","14.6","12.1","17.6","8.8","14.7","2.7","2.5","2.2","N","N","N","N","N","N","N","N","N","N","3.3","2.5","8.5","3.7","8.6","8.4","6.1","4.9","N","N","N","N","8.2","5.1","6.1","2.7"
"Female householder, no husband present, family","35.0","5.6","31.3","3.6","48.3","3.5","46.1","2.8","29.3","3.3","24.9","3.4","27.7","1.9","31.6","7.5","48.2","5.9","40.3","4.5","26.2","1.7","19.9","5.5","35.6","5.4","19.0","11.6","45.8","7.2","24.1","11.7","40.7","4.8","24.3","4.0","21.5","3.2","16.8","3.1","19.5","4.8","30.7","6.4","21.5","13.0","30.3","4.0","16.5","2.2"
"With related children under 18 years","46.4","7.2","37.1","4.4","56.0","4.3","54.4","3.6","35.8","4.5","38.2","6.0","35.0","2.2","41.3","10.9","56.1","7.0","50.6","5.6","34.6","2.4","27.8","8.4","48.1","7.3","39.4","21.3","57.6","9.2","31.4","15.7","52.2","6.3","35.9","6.6","35.1","4.7","23.9","4.9","33.5","9.1","34.2","7.6","21.0","13.2","40.2","5.0","23.7","3.6"
"With related children under 5 years only","31.0","15.1","39.0","12.5","45.7","11.6","41.7","8.7","36.2","11.1","30.8","13.9","29.2","7.3","39.2","28.0","23.9","14.2","32.0","11.4","28.4","6.3","N","N","49.2","21.5","N","N","72.0","32.5","N","N","52.9","22.7","27.7","13.3","26.9","9.2","27.6","14.8","33.4","17.8","25.5","15.9","N","N","33.1","11.1","22.4","8.4"
"All people","23.7","2.7","27.5","1.8","38.3","2.0","36.9","1.6","23.5","1.5","20.6","1.0","23.7","1.2","24.2","2.5","34.4","3.2","30.4","2.0","21.6","0.8","10.8","1.0","34.6","3.4","20.4","3.2","34.3","4.6","18.9","4.8","30.8","2.5","14.7","1.0","13.3","1.0","13.6","1.6","18.4","1.7","17.9","2.6","18.9","4.2","19.4","1.7","13.7","0.9"
"Under 18 years","29.1","5.9","38.1","3.6","50.5","3.2","48.3","2.7","32.6","2.8","31.3","2.7","33.7","2.2","32.0","4.6","43.8","5.0","40.0","3.3","31.2","1.9","8.7","2.6","50.0","10.2","26.9","9.8","42.1","8.0","18.8","8.0","38.1","4.6","18.4","3.3","19.6","3.0","18.4","3.6","23.4","3.4","23.4","4.2","18.5","5.1","26.8","3.3","17.5","2.1"
"Related children under 18 years","29.0","5.9","37.8","3.6","50.2","3.2","48.1","2.8","32.3","2.8","31.2","2.7","33.6","2.3","31.6","4.6","43.3","5.0","39.5","3.3","31.1","1.9","8.5","2.5","49.6","10.3","26.4","9.8","41.9","8.0","18.8","8.0","37.9","4.5","18.0","3.4","19.3","3.0","18.2","3.6","23.3","3.4","23.0","4.2","18.5","5.1","26.6","3.3","17.3","2.1"
"Related children under 5 years","24.0","6.5","37.3","4.9","47.5","4.9","45.0","4.0","30.1","3.8","31.6","3.1","33.9","3.8","29.2","6.4","38.1","6.9","37.0","5.0","30.6","2.3","4.3","2.0","50.4","13.8","14.6","14.9","48.2","11.6","10.2","7.2","35.1","8.2","13.7","3.9","18.9","3.9","18.4","5.3","19.1","4.4","15.3","4.3","18.5","7.6","23.1","4.4","15.7","2.4"
"Related children 5 to 17 years","31.0","7.0","38.0","4.1","51.3","3.7","49.3","3.0","33.2","3.2","31.0","3.1","33.5","2.6","32.7","4.9","45.5","6.0","40.7","3.7","31.3","2.1","11.1","3.6","49.3","12.9","32.8","12.1","39.2","8.4","25.1","10.6","39.2","4.6","20.6","4.6","19.5","3.3","18.1","3.7","25.1","3.8","26.5","5.3","18.5","5.2","28.2","3.7","18.0","2.4"
"18 years and over","22.5","2.4","23.9","1.7","33.2","2.0","32.4","1.6","20.8","1.5","17.6","0.8","20.6","1.1","22.1","2.2","30.8","2.8","26.8","1.8","18.8","0.7","11.1","1.0","31.0","2.6","19.7","2.8","32.1","4.3","18.9","4.9","28.9","2.5","14.2","0.9","12.0","0.8","12.3","1.4","17.2","1.5","16.0","2.5","19.1","5.2","17.0","1.6","12.9","0.7"
"18 to 64 years","23.6","2.9","24.8","1.8","32.9","2.0","32.2","1.7","21.8","1.6","16.6","0.9","20.7","1.2","21.0","2.2","29.9","3.0","26.0","1.9","18.3","0.8","10.9","1.0","31.4","3.0","17.9","3.0","30.9","4.4","18.6","5.1","27.6","2.6","14.1","1.1","12.2","1.0","12.2","1.5","16.7","1.5","15.6","2.7","19.5","5.7","17.0","1.7","12.8","0.8"
"65 years and over","19.1","2.7","18.2","2.9","36.2","5.9","34.2","4.1","16.0","2.0","22.1","1.7","20.2","1.9","30.3","5.8","39.2","8.1","32.7","3.8","21.5","1.3","12.2","1.8","29.0","4.5","31.2","7.7","40.0","9.3","20.9","8.8","35.7","4.5","14.6","1.6","10.9","1.0","12.7","2.2","20.4","3.6","20.7","5.3","16.1","7.5","16.6","2.7","13.0","1.1"
"People in families","20.4","3.2","25.1","2.3","36.6","2.2","34.9","1.8","21.1","1.8","19.4","1.3","21.3","1.3","22.3","2.7","32.5","3.6","28.4","2.2","19.9","1.0","6.6","1.5","32.5","5.3","19.4","4.7","32.5","5.3","16.5","6.0","28.6","3.2","11.9","1.7","10.8","1.2","10.6","1.7","15.9","1.9","15.8","2.9","16.9","4.9","16.8","1.8","11.4","1.0"
"Unrelated individuals 15 years and over","34.7","3.1","37.4","3.2","47.1","3.1","46.9","2.4","32.8","2.4","24.1","1.1","34.2","1.8","36.2","4.2","42.9","4.6","39.6","2.9","27.7","1.0","15.5","1.4","38.6","3.1","22.1","3.5","43.2","6.4","25.9","6.8","38.4","3.1","18.0","1.3","21.2","1.5","29.1","3.0","34.3","3.0","30.9","4.4","34.4","10.1","31.5","2.8","23.8","1.0"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occupied housing units","113125","3848","165383","4415","169830","4923","251052","4192","230091","4933","440263","5178","312283","5374","86887","2051","66664","3343","158788","3528","766701","5243","463653","7160","95700","4287","83027","4142","60004","4505","20730","2736","136575","5047","589782","7619","380942","4972","138662","3039","171035","3639","71334","3624","19754","2094","188805","4184","595438","5069"
"Owner-occupied housing units","32.6","1.9","18.7","1.4","7.7","1.2","10.1","1.0","27.7","1.3","33.6","0.9","25.2","1.0","41.7","2.5","10.9","1.8","14.5","1.0","32.8","0.7","28.5","1.1","12.0","2.1","21.2","3.0","2.7","1.5","18.5","5.8","8.0","1.4","26.5","1.0","42.8","1.0","47.4","1.7","49.8","1.6","29.7","2.7","39.7","4.8","27.3","1.5","49.2","0.9"
"Renter-occupied housing units","67.4","1.9","81.3","1.4","92.3","1.2","89.9","1.0","72.3","1.3","66.4","0.9","74.8","1.0","58.3","2.5","89.1","1.8","85.5","1.0","67.2","0.7","71.5","1.1","88.0","2.1","78.8","3.0","97.3","1.5","81.5","5.8","92.0","1.4","73.5","1.0","57.2","1.0","52.6","1.7","50.2","1.6","70.3","2.7","60.3","4.8","72.7","1.5","50.8","0.9"
"Average household size of owner-occupied unit","2.63","0.15","3.03","0.22","3.62","0.30","3.32","0.22","2.91","0.14","2.75","0.05","3.17","0.09","3.79","0.12","3.35","0.32","3.12","0.18","3.03","0.04","2.00","0.06","2.13","0.25","2.08","0.17","3.64","0.66","2.82","0.71","2.40","0.24","2.03","0.06","2.64","0.06","3.34","0.12","3.53","0.10","3.82","0.21","3.90","0.39","3.50","0.13","3.03","0.05"
"Average household size of renter-occupied unit","2.44","0.10","2.65","0.06","3.13","0.08","2.99","0.06","2.58","0.06","2.45","0.04","2.60","0.04","3.12","0.11","3.38","0.14","3.05","0.07","2.53","0.02","1.93","0.05","2.34","0.10","2.17","0.13","3.35","0.18","2.41","0.27","2.98","0.12","1.96","0.04","2.47","0.06","2.65","0.10","3.04","0.11","3.43","0.15","3.01","0.35","3.25","0.09","2.50","0.05"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occupied housing units","113125","3848","165383","4415","169830","4923","251052","4192","230091","4933","440263","5178","312283","5374","86887","2051","66664","3343","158788","3528","766701","5243","463653","7160","95700","4287","83027","4142","60004","4505","20730","2736","136575","5047","589782","7619","380942","4972","138662","3039","171035","3639","71334","3624","19754","2094","188805","4184","595438","5069"
"1-unit, detached or attached","17.6","1.2","8.4","1.1","3.8","0.7","6.0","0.7","13.0","1.0","15.4","0.6","12.5","0.8","19.2","1.8","6.0","1.4","7.5","0.9","15.5","0.5","1.4","0.4","1.3","0.7","0.9","0.5","0.2","0.3","3.2","2.9","0.7","0.5","1.5","0.3","24.5","0.9","40.6","1.9","27.9","1.7","26.1","2.4","34.9","4.3","19.9","1.3","31.3","0.8"
"2 to 4 units","19.8","1.8","20.8","1.6","15.2","1.4","14.7","1.2","22.8","1.4","31.5","1.0","36.2","1.4","43.6","2.3","31.6","2.7","32.3","1.8","34.5","0.7","2.6","0.4","2.9","0.9","2.1","0.7","1.9","1.2","7.0","4.3","2.1","0.7","2.9","0.4","30.1","1.1","28.1","2.0","32.5","1.8","41.9","3.4","25.7","3.9","36.2","1.9","29.7","0.8"
"5 or more units","62.3","2.0","70.4","1.7","80.8","1.7","79.1","1.4","63.6","1.6","52.9","1.0","51.1","1.5","37.1","2.3","62.1","2.8","60.1","1.7","49.8","0.7","96.0","0.6","95.7","1.3","97.0","0.8","97.2","1.5","89.9","5.2","96.9","0.9","95.6","0.5","45.4","1.1","31.1","1.7","39.5","1.7","31.6","2.8","39.0","4.9","43.8","1.9","38.9","0.8"
"Mobile home, boat, RV, van, etc.","0.3","0.2","0.4","0.5","0.2","0.2","0.2","0.2","0.6","0.4","0.2","0.1","0.1","0.1","0.1","0.1","0.3","0.4","0.1","0.1","0.2","0.1","0.1","0.1","0.1","0.2","0.0","0.1","0.7","0.7","0.0","0.7","0.3","0.3","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.3","0.3","0.4","0.7","0.2","0.1","0.1","0.1"
"YEAR STRUCTURE BUILT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occupied housing units","113125","3848","165383","4415","169830","4923","251052","4192","230091","4933","440263","5178","312283","5374","86887","2051","66664","3343","158788","3528","766701","5243","463653","7160","95700","4287","83027","4142","60004","4505","20730","2736","136575","5047","589782","7619","380942","4972","138662","3039","171035","3639","71334","3624","19754","2094","188805","4184","595438","5069"
"Built 2010 or later","0.7","0.4","1.5","0.4","1.5","0.5","1.5","0.4","1.1","0.3","1.3","0.2","0.6","0.2","1.1","0.4","1.6","0.7","1.1","0.4","1.0","0.1","1.1","0.3","1.7","0.7","2.0","0.9","0.1","0.1","0.4","0.6","0.6","0.3","1.3","0.3","0.8","0.3","0.2","0.2","1.4","0.4","0.9","0.6","0.6","0.7","0.6","0.3","0.9","0.2"
"Built 2000 to 2009","3.6","0.9","5.6","0.9","4.8","0.9","4.9","0.6","4.8","0.8","6.4","0.5","4.2","0.5","7.3","1.3","5.8","1.6","5.8","1.0","5.7","0.4","6.0","0.7","5.9","1.5","10.5","1.9","3.7","1.4","5.7","2.5","4.2","0.9","6.8","0.6","3.9","0.5","5.7","1.0","5.4","0.8","6.9","1.5","6.1","2.5","5.7","0.9","4.6","0.4"
"Built 1980 to 1999","7.8","1.3","7.8","1.0","8.7","1.5","9.2","1.1","6.6","0.7","4.8","0.4","6.5","0.7","6.7","1.3","6.0","1.3","6.2","1.0","5.6","0.4","9.5","0.8","7.1","1.5","15.0","2.5","5.3","1.8","12.7","6.1","6.0","1.1","10.4","0.7","4.9","0.6","5.3","1.1","8.5","1.2","6.8","1.9","7.9","2.4","7.2","1.1","5.6","0.5"
"Built 1960 to 1979","23.2","1.7","25.5","2.1","14.6","1.9","17.2","1.4","25.1","1.8","14.6","0.8","22.5","1.1","12.9","1.7","16.1","2.7","16.1","1.7","17.7","0.6","21.9","1.1","22.1","2.9","21.5","2.9","18.8","2.9","17.8","5.3","18.6","1.8","22.1","1.1","18.7","1.0","23.6","1.7","21.5","1.3","17.2","2.6","20.2","5.1","18.6","1.5","20.6","0.9"
"Built 1940 to 1959","31.3","2.2","25.6","1.8","20.3","1.7","23.1","1.4","27.8","1.6","19.8","0.7","19.9","0.9","20.1","2.1","16.5","2.6","16.6","1.3","20.2","0.6","16.3","1.2","26.2","2.5","16.7","2.6","19.7","3.4","15.4","4.5","22.4","2.2","16.9","1.1","39.0","1.3","40.1","2.3","40.6","1.8","37.6","2.6","29.9","4.8","37.1","1.9","39.8","1.1"
"Built 1939 or earlier","33.4","2.0","34.0","1.8","50.0","2.4","44.0","1.7","34.5","1.6","53.0","1.1","46.2","1.5","51.9","2.5","54.0","3.4","54.1","2.2","49.8","1.0","45.2","1.7","37.0","2.8","34.3","3.4","52.4","3.9","48.1","7.4","48.2","2.5","42.5","1.3","32.8","1.0","25.0","1.6","22.5","1.6","30.5","2.9","35.3","4.7","30.8","1.8","28.5","0.9"
"VEHICLES AVAILABLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occupied housing units","113125","3848","165383","4415","169830","4923","251052","4192","230091","4933","440263","5178","312283","5374","86887","2051","66664","3343","158788","3528","766701","5243","463653","7160","95700","4287","83027","4142","60004","4505","20730","2736","136575","5047","589782","7619","380942","4972","138662","3039","171035","3639","71334","3624","19754","2094","188805","4184","595438","5069"
"None","49.5","2.4","61.1","2.0","63.9","1.9","63.7","1.7","53.1","1.6","50.4","1.2","57.9","1.5","51.5","2.5","67.3","2.8","62.5","1.9","52.8","1.0","75.6","1.2","83.1","2.3","84.8","2.0","77.4","3.6","80.3","7.8","80.7","1.8","77.2","1.1","39.2","1.2","32.3","1.9","36.1","1.9","45.0","3.1","35.6","4.6","47.9","2.1","34.5","1.0"
"1 or more","50.5","2.4","38.9","2.0","36.1","1.9","36.3","1.7","46.9","1.6","49.6","1.2","42.1","1.5","48.5","2.5","32.7","2.8","37.5","1.9","47.2","1.0","24.4","1.2","16.9","2.3","15.2","2.0","22.6","3.6","19.7","7.8","19.3","1.8","22.8","1.1","60.8","1.2","67.7","1.9","63.9","1.9","55.0","3.1","64.4","4.6","52.1","2.1","65.5","1.0"
"HOUSE HEATING FUEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occupied housing units","113125","3848","165383","4415","169830","4923","251052","4192","230091","4933","440263","5178","312283","5374","86887","2051","66664","3343","158788","3528","766701","5243","463653","7160","95700","4287","83027","4142","60004","4505","20730","2736","136575","5047","589782","7619","380942","4972","138662","3039","171035","3639","71334","3624","19754","2094","188805","4184","595438","5069"
"Gas","45.1","2.3","40.8","2.1","30.6","2.2","36.1","1.7","41.8","1.7","76.0","1.0","82.6","1.0","82.4","2.0","77.7","2.6","76.1","1.8","79.3","0.7","38.3","1.4","40.2","3.1","50.4","3.1","33.8","4.0","43.1","7.9","33.7","2.3","41.2","1.3","65.9","1.2","76.8","1.8","75.3","1.5","74.6","2.5","73.3","4.5","72.0","1.8","70.5","0.9"
"Electricity","7.5","1.3","11.2","1.4","5.2","1.0","6.8","0.9","9.4","1.1","8.5","0.6","5.4","0.6","8.2","1.5","7.1","1.9","8.2","1.2","7.2","0.4","22.0","1.2","18.0","2.4","28.4","3.0","8.4","2.3","19.5","6.9","15.0","2.0","22.4","1.1","6.1","0.5","6.7","1.3","5.9","0.7","3.4","0.9","7.9","2.4","4.6","0.8","6.4","0.5"
"All other fuels","45.5","2.2","46.4","2.3","63.3","2.1","55.7","1.8","47.1","1.8","13.8","0.8","10.6","0.8","8.2","1.5","14.0","2.1","13.9","1.2","12.0","0.5","36.8","1.4","38.9","3.0","17.7","2.6","55.2","4.3","36.1","7.6","48.7","2.8","33.5","1.3","26.9","1.1","15.5","1.6","17.6","1.5","21.1","2.5","17.4","3.6","22.2","1.6","22.0","0.8"
"No fuel used","2.0","0.6","1.6","0.3","0.8","0.3","1.3","0.3","1.7","0.4","1.8","0.3","1.4","0.2","1.2","0.5","1.3","0.7","1.9","0.5","1.6","0.2","2.9","0.4","2.8","0.9","3.4","1.3","2.5","1.1","1.2","1.1","2.7","0.8","2.9","0.4","1.1","0.2","1.1","0.4","1.2","0.3","0.9","0.5","1.4","1.2","1.3","0.4","1.1","0.2"
"SELECTED CHARACTERISTICS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occupied housing units","113125","3848","165383","4415","169830","4923","251052","4192","230091","4933","440263","5178","312283","5374","86887","2051","66664","3343","158788","3528","766701","5243","463653","7160","95700","4287","83027","4142","60004","4505","20730","2736","136575","5047","589782","7619","380942","4972","138662","3039","171035","3639","71334","3624","19754","2094","188805","4184","595438","5069"
"No telephone service available","3.2","0.7","2.3","0.5","1.8","0.5","2.8","0.5","1.8","0.4","2.1","0.3","1.3","0.3","2.5","0.8","3.7","1.1","3.1","0.6","1.8","0.2","2.7","0.5","2.6","0.9","4.2","1.4","3.2","1.3","1.8","1.3","3.0","0.8","2.9","0.4","2.7","0.4","1.9","0.7","1.8","0.4","3.4","1.1","1.7","1.1","4.6","0.8","1.7","0.3"
"1.01 or more occupants per room","6.7","1.1","10.1","1.2","16.6","1.5","14.7","1.2","9.5","0.9","7.8","0.7","8.7","0.7","19.5","2.1","19.9","2.4","16.6","1.4","8.8","0.5","3.4","0.5","5.5","1.2","8.3","2.2","16.8","3.6","4.0","2.4","12.2","1.9","3.8","0.5","7.3","0.7","5.9","1.1","15.4","1.3","16.7","2.6","16.0","4.7","16.5","1.5","7.7","0.5"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Housing units with a mortgage (excluding units where SMOC cannot be computed)","17384","1654","20017","2048","9886","1666","17814","2186","35485","2668","82349","3122","59663","3143","21938","1975","5140","1125","16221","1450","155802","4609","65499","3551","6092","1752","11376","1986","508","287","1854","800","5206","1328","80123","4501","82680","3789","49259","2477","52704","2462","17514","1906","5596","882","37317","2656","171212","4092"
"Less than 30 percent","58.1","5.2","43.5","5.0","35.5","8.4","43.3","6.2","49.4","3.8","53.5","2.2","38.7","2.4","39.3","4.4","42.3","10.2","43.4","5.8","46.5","1.7","78.2","3.2","43.5","12.4","74.4","7.5","57.5","29.1","91.4","8.3","69.6","12.7","75.8","2.9","55.3","2.4","42.6","3.4","44.0","2.6","40.1","6.5","53.3","9.1","41.0","3.8","49.5","1.7"
"30 percent or more","41.9","5.2","56.5","5.0","64.5","8.4","56.7","6.2","50.6","3.8","46.5","2.2","61.3","2.4","60.7","4.4","57.7","10.2","56.6","5.8","53.5","1.7","21.8","3.2","56.5","12.4","25.6","7.5","42.5","29.1","8.6","8.3","30.4","12.7","24.2","2.9","44.7","2.4","57.4","3.4","56.0","2.6","59.9","6.5","46.7","9.1","59.0","3.8","50.5","1.7"
"OWNER CHARACTERISTICS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Owner-occupied housing units","36847","2093","30931","2381","13142","1981","25462","2591","63691","3082","147793","3703","78651","3320","36222","2089","7255","1234","22963","1606","251278","5334","132340","5251","11448","2022","17567","2670","1627","913","3833","1347","10957","1933","156490","6089","163194","3957","65755","2335","85246","3166","21177","2083","7834","963","51521","3119","292715","5228"
"Median value (dollars)","379000","18588","355700","21019","377300","29781","359700","20571","373700","14904","619500","12072","463300","8712","608200","15506","497200","69380","485800","36567","563600","8664","915200","36311","529600","114686","739800","83096","479700","403635","542100","141424","673600","121380","860900","33140","474000","9193","369000","5259","493900","15719","415300","20342","393700","35384","428900","14475","441700","6206"
"Median selected monthly owner costs with a mortgage (dollars)","2170","166","2376","132","2630","207","2351","195","2371","104","2516","68","2469","74","2741","133","2588","146","2376","104","2545","54","2842","190","2258","812","3340","296","1468","887","2219","503","2109","289","2906","143","2229","67","2318","75","2541","85","2500","152","2249","147","2441","85","2339","40"
"Median selected monthly owner costs without a mortgage (dollars)","728","45","714","140","489","273","692","85","733","52","806","24","745","42","785","26","846","198","727","112","792","19","957","85","N","N","1,000+","***","N","N","N","N","607","273","919","92","769","23","710","39","760","43","742","115","813","129","779","53","755","20"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occupied units paying rent (excluding units where GRAPI cannot be computed)","72973","3912","129304","4526","150290","4951","216614","4412","159134","5111","276165","6283","217788","5565","47326","2771","56636","3267","127972","4037","484211","7217","321697","7907","79464","4714","62520","4004","55578","4145","15975","2334","120280","5175","417452","8710","206634","4922","70102","3030","79421","3461","49022","3308","11258","1851","133251","4118","284672","6298"
"Less than 30 percent","45.2","2.8","42.5","2.4","36.2","2.3","37.2","1.8","44.8","2.2","47.6","1.4","44.3","1.8","38.5","3.7","40.2","3.6","43.4","2.3","45.5","1.0","55.6","2.1","45.8","3.4","55.2","4.8","46.5","3.7","45.4","7.7","45.6","2.8","54.8","1.9","45.9","1.7","44.9","3.1","43.7","2.8","33.6","3.6","47.1","7.2","37.1","2.5","47.1","1.3"
"30 percent or more","54.8","2.8","57.5","2.4","63.8","2.3","62.8","1.8","55.2","2.2","52.4","1.4","55.7","1.8","61.5","3.7","59.8","3.6","56.6","2.3","54.5","1.0","44.4","2.1","54.2","3.4","44.8","4.8","53.5","3.7","54.6","7.7","54.4","2.8","45.2","1.9","54.1","1.7","55.1","3.1","56.3","2.8","66.4","3.6","52.9","7.2","62.9","2.5","52.9","1.3"
"GROSS RENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occupied units paying rent","74144","3829","132735","4374","153548","5049","221034","4377","162988","4969","282255","6077","227449","5683","49115","2734","57897","3285","131511","3937","499922","7101","325652","8151","83167","4621","64596","4136","56049","4117","16561","2434","121660","5193","426863","9118","210283","4942","71150","3054","82774","3357","49691","3404","11658","1860","135266","4261","291776","6282"
"Median gross rent (dollars)","1050","32","1042","21","1060","19","1044","16","1071","17","1331","20","1087","14","1175","33","1114","31","1100","26","1216","11","1928","44","860","35","1431","100","926","47","1180","173","941","33","1732","33","1344","16","1195","30","1392","32","1371","37","1280","86","1335","24","1332","16"
"COMPUTERS AND INTERNET USE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total households","113125","3848","165383","4415","169830","4923","251052","4192","230091","4933","440263","5178","312283","5374","86887","2051","66664","3343","158788","3528","766701","5243","463653","7160","95700","4287","83027","4142","60004","4505","20730","2736","136575","5047","589782","7619","380942","4972","138662","3039","171035","3639","71334","3624","19754","2094","188805","4184","595438","5069"
