"Occupations","Gender","Boroughs","year","Salary","year_range"
"Legal occupations","Female","Kings County","year2010",64545,"year2010_2013"
"Legal occupations","Female","Kings County","year2011",67106,"year2010_2013"
"Legal occupations","Female","Kings County","year2012",66287,"year2010_2013"
"Legal occupations","Female","Kings County","year2013",69284,"year2010_2013"
"Legal occupations","Female","Kings County","year2014",71054,"year2014_2016"
"Legal occupations","Female","Kings County","year2015",76365,"year2014_2016"
"Legal occupations","Female","Kings County","year2016",79766,"year2014_2016"
"Legal occupations","Female","Kings County","year2017",80305,"year2017_2019"
"Legal occupations","Female","Kings County","year2018",85196,"year2017_2019"
"Legal occupations","Female","Kings County","year2019",100100,"year2017_2019"
"Education, training, and library occupations","Female","Kings County","year2010",36217,"year2010_2013"
"Education, training, and library occupations","Female","Kings County","year2011",36236,"year2010_2013"
"Education, training, and library occupations","Female","Kings County","year2012",36910,"year2010_2013"
"Education, training, and library occupations","Female","Kings County","year2013",32291,"year2010_2013"
"Education, training, and library occupations","Female","Kings County","year2014",35589,"year2014_2016"
"Education, training, and library occupations","Female","Kings County","year2015",36934,"year2014_2016"
"Education, training, and library occupations","Female","Kings County","year2016",41073,"year2014_2016"
"Education, training, and library occupations","Female","Kings County","year2017",40490,"year2017_2019"
"Education, training, and library occupations","Female","Kings County","year2018",43625,"year2017_2019"
"Education, training, and library occupations","Female","Kings County","year2019",42753,"year2017_2019"
"Arts, design, entertainment, sports, and media occupations","Female","Kings County","year2010",42397,"year2010_2013"
"Arts, design, entertainment, sports, and media occupations","Female","Kings County","year2011",50326,"year2010_2013"
"Arts, design, entertainment, sports, and media occupations","Female","Kings County","year2012",47215,"year2010_2013"
"Arts, design, entertainment, sports, and media occupations","Female","Kings County","year2013",50621,"year2010_2013"
"Arts, design, entertainment, sports, and media occupations","Female","Kings County","year2014",51321,"year2014_2016"
"Arts, design, entertainment, sports, and media occupations","Female","Kings County","year2015",51587,"year2014_2016"
"Arts, design, entertainment, sports, and media occupations","Female","Kings County","year2016",51668,"year2014_2016"
"Arts, design, entertainment, sports, and media occupations","Female","Kings County","year2017",55944,"year2017_2019"
"Arts, design, entertainment, sports, and media occupations","Female","Kings County","year2018",62364,"year2017_2019"
"Arts, design, entertainment, sports, and media occupations","Female","Kings County","year2019",63902,"year2017_2019"
"Health diagnosing and treating practitioners and other technical occupations","Female","Kings County","year2010",70047,"year2010_2013"
"Health diagnosing and treating practitioners and other technical occupations","Female","Kings County","year2011",67518,"year2010_2013"
"Health diagnosing and treating practitioners and other technical occupations","Female","Kings County","year2012",64438,"year2010_2013"
"Health diagnosing and treating practitioners and other technical occupations","Female","Kings County","year2013",67354,"year2010_2013"
"Health diagnosing and treating practitioners and other technical occupations","Female","Kings County","year2014",71728,"year2014_2016"
"Health diagnosing and treating practitioners and other technical occupations","Female","Kings County","year2015",71751,"year2014_2016"
"Health diagnosing and treating practitioners and other technical occupations","Female","Kings County","year2016",71290,"year2014_2016"
"Health diagnosing and treating practitioners and other technical occupations","Female","Kings County","year2017",77021,"year2017_2019"
"Health diagnosing and treating practitioners and other technical occupations","Female","Kings County","year2018",80401,"year2017_2019"
"Health diagnosing and treating practitioners and other technical occupations","Female","Kings County","year2019",81941,"year2017_2019"
"Health technologists and technicians","Female","Kings County","year2010",39186,"year2010_2013"
"Health technologists and technicians","Female","Kings County","year2011",41266,"year2010_2013"
"Health technologists and technicians","Female","Kings County","year2012",41484,"year2010_2013"
